OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v
3;3606270;7086228;Sotkamo;2101;19610101;1961;1;1;3605000;7085000;-4.7;-4.9;-7.2;3.0;101;-999.00;0.00;3.0
3;3606270;7086228;Sotkamo;2101;19610102;1961;1;2;3605000;7085000;-3.3;-2.2;-4.8;0.0;116;4.59;0.00;3.0
3;3606270;7086228;Sotkamo;2101;19610103;1961;1;3;3605000;7085000;-3.7;-2.3;-4.3;0.0;113;4.58;0.00;3.0
3;3606270;7086228;Sotkamo;2101;19610104;1961;1;4;3605000;7085000;-4.1;-3.9;-5.3;3.0;120;4.23;0.00;6.0
3;3606270;7086228;Sotkamo;2101;19610105;1961;1;5;3605000;7085000;-1.3;0.3;-4.5;1.0;130;5.28;0.00;7.0
3;3606270;7086228;Sotkamo;2101;19610106;1961;1;6;3605000;7085000;-1.4;0.4;-2.7;5.0;144;5.73;0.00;12.0
3;3606270;7086228;Sotkamo;2101;19610107;1961;1;7;3605000;7085000;-5.2;-2.7;-5.7;1.0;146;4.41;0.00;13.0
3;3606270;7086228;Sotkamo;2101;19610108;1961;1;8;3605000;7085000;-4.7;-2.9;-10.2;1.0;164;4.57;0.00;14.0
3;3606270;7086228;Sotkamo;2101;19610109;1961;1;9;3605000;7085000;-9.1;-2.8;-16.6;0.0;203;3.71;0.00;14.0
3;3606270;7086228;Sotkamo;2101;19610110;1961;1;10;3605000;7085000;-12.6;-10.9;-17.2;0.0;229;2.15;0.00;14.0
3;3606270;7086228;Sotkamo;2101;19610111;1961;1;11;3605000;7085000;-6.1;-0.6;-18.2;1.0;204;4.18;0.00;15.0
3;3606270;7086228;Sotkamo;2101;19610112;1961;1;12;3605000;7085000;-7.2;-0.7;-12.3;0.0;221;3.69;0.00;15.0
3;3606270;7086228;Sotkamo;2101;19610113;1961;1;13;3605000;7085000;-8.1;-6.3;-12.1;0.0;236;3.33;0.00;15.0
3;3606270;7086228;Sotkamo;2101;19610114;1961;1;14;3605000;7085000;-5.8;-4.2;-7.3;0.0;220;3.90;0.00;15.0
3;3606270;7086228;Sotkamo;2101;19610115;1961;1;15;3605000;7085000;-8.1;-4.9;-8.5;3.0;247;3.84;0.00;18.0
3;3606270;7086228;Sotkamo;2101;19610116;1961;1;16;3605000;7085000;-18.0;-8.3;-22.4;0.0;433;1.29;0.00;18.0
3;3606270;7086228;Sotkamo;2101;19610117;1961;1;17;3605000;7085000;-21.2;-18.0;-30.5;0.0;345;1.04;0.00;18.0
3;3606270;7086228;Sotkamo;2101;19610118;1961;1;18;3605000;7085000;-10.4;-9.1;-18.6;0.0;317;2.70;0.00;18.0
3;3606270;7086228;Sotkamo;2101;19610119;1961;1;19;3605000;7085000;-5.3;-3.5;-9.2;0.0;353;4.15;0.00;18.0
3;3606270;7086228;Sotkamo;2101;19610120;1961;1;20;3605000;7085000;-5.3;-3.5;-6.0;0.0;343;3.80;0.00;18.0
3;3606270;7086228;Sotkamo;2101;19610121;1961;1;21;3605000;7085000;-7.4;-5.9;-8.2;0.0;412;3.13;0.00;18.0
3;3606270;7086228;Sotkamo;2101;19610122;1961;1;22;3605000;7085000;-9.2;-7.1;-11.5;0.0;464;2.40;0.00;18.0
3;3606270;7086228;Sotkamo;2101;19610123;1961;1;23;3605000;7085000;-10.0;-6.5;-9.6;0.0;622;2.73;0.00;18.0
3;3606270;7086228;Sotkamo;2101;19610124;1961;1;24;3605000;7085000;-13.3;-9.6;-16.5;0.0;677;1.57;0.00;18.0
3;3606270;7086228;Sotkamo;2101;19610125;1961;1;25;3605000;7085000;-12.6;-10.9;-13.8;0.0;559;2.07;0.00;18.0
3;3606270;7086228;Sotkamo;2101;19610126;1961;1;26;3605000;7085000;-12.2;-9.6;-16.5;0.0;624;2.43;0.00;18.0
3;3606270;7086228;Sotkamo;2101;19610127;1961;1;27;3605000;7085000;-11.5;-9.7;-17.6;0.0;519;2.77;0.00;18.0
3;3606270;7086228;Sotkamo;2101;19610128;1961;1;28;3605000;7085000;-6.9;-3.8;-12.9;2.0;528;3.71;0.00;20.0
3;3606270;7086228;Sotkamo;2101;19610129;1961;1;29;3605000;7085000;-2.5;-2.5;-4.3;3.0;744;4.82;0.00;23.0
3;3606270;7086228;Sotkamo;2101;19610130;1961;1;30;3605000;7085000;-1.1;0.1;-2.3;8.0;583;5.08;0.00;31.0
3;3606270;7086228;Sotkamo;2101;19610131;1961;1;31;3605000;7085000;-5.8;-0.4;-9.6;3.0;586;4.11;0.00;34.0
3;3606270;7086228;Sotkamo;2101;19610201;1961;2;1;3605000;7085000;-10.2;-8.9;-10.8;0.0;599;2.44;0.00;34.0
